listing_id;title;price_pln;currency;link;subtitle;engine_cm3;power_hp;mileage_km;fuel_type;gearbox;year;location;first_seen_date;last_seen_date;days_on_site;is_active;removed_date;initial_price_pln;lowest_price_pln;price_change_count;last_price_change_date
6146526485;Dacia Duster 1.6 SCe Laureate S&S;37500;PLN;https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6HYcjX.html;1598 cm3 • 114 KM • Dacia Duster 2016, niski przebieg, drugi właściciel, zadbany;1598;114;82126;Benzyna;Manualna;2016;Gdynia (Pomorskie);2026-03-29;2026-03-29;0;0;2026-03-29;37500;37500;0;
6146682019;Dacia Duster 1.6 SCe Open S&S;36500;PLN;https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6HYQMz.html;1598 cm3 • 114 KM • Duster , Liczba właścicieli: 1, niski przebieg, stan idealny;1598;114;64200;Benzyna;Manualna;2017;Katowice (Śląskie);2026-03-29;2026-03-30;1;1;;38500;36500;1;2026-03-30
6146251298;Dacia Duster 1.6 SCe Prestige;56198;PLN;https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6HX2Js.html;1598 cm3 • 115 KM • 1.6 115KM Navi, Kamera, Skóra, Podgrzewane Fotele;1598;115;69000;Benzyna;Manualna;2018;Mysłowice (Śląskie);2026-03-29;2026-03-30;1;1;;56198;56198;0;
6146572844;Dacia Duster 1.0 TCe Prestige;57000;PLN;https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6HYonG.html;999 cm3 • 90 KM • Polski salon na gwarancji producenta do 2027;999;90;71000;Benzyna;Manualna;2021;Lubań (Dolnośląskie);2026-03-29;2026-03-30;1;1;;57000;57000;0;
6146532671;Dacia Duster 1.0 TCe Comfort;49900;PLN;https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6HYdWJ.html;999 cm3 • 100 KM • Dacia Duster 2021 Benzyna + LPG;999;100;80391;Benzyna;Manualna;2021;Drogomyśl (Śląskie);2026-03-29;2026-03-29;0;0;2026-03-29;49900;49900;0;
6146392096;Dacia Duster;49850;PLN;https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6HXDmo.html;1333 cm3 • 131 KM • 1.3 TCe FAP Comfort 4WD ! Z Polskiego Salonu !;1333;131;117500;Benzyna;Manualna;2020;Warszawa (Mazowieckie);2026-03-29;2026-03-30;1;1;;49850;49850;0;
6145630130;Dacia Duster 1.3 TCe Comfort;64900;PLN;https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6HUr8C.html;1332 cm3 • 130 KM • 1.3 TCe 130KM CooL- Comfort/PolskiSalon/1Właścicel/SerwisASO;1332;130;56087;Benzyna;Manualna;2022;Elbląg (Warmińsko-mazurskie);2026-03-29;2026-03-30;1;1;;64900;64900;0;
6146296651;Dacia Duster TCe 100 2WD Prestige;52000;PLN;https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6HXevX.html;999 cm3 • 101 KM • Dacia Duster 1.0 LPG 50 tys przebiegu;999;101;50500;Benzyna;Manualna;2021;Kraków (Małopolskie);2026-03-29;2026-03-30;1;1;;52000;52000;0;
6146671582;Dacia Duster 1.6 SCe Access;38000;PLN;https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6HYO4e.html;1598 cm3 • 115 KM • Pierwszy właściciel, auto z salonu, stan bardzo dobry;1598;115;94000;Benzyna;Manualna;2017;Zębowo (Wielkopolskie);2026-03-29;2026-03-30;1;1;;38000;38000;0;
6145882083;Dacia Duster 1.0 TCe Prestige;57400;PLN;https://www.otomoto.pl/osobowe/oferta/dacia-duster-ID6HWuGn.html;999 cm3 • 100 KM • Dacia Duster 2 LPG - fabryczny gaz/salon Polska/pierwszy właściciel;999;100;74000;Benzyna;Manualna;2022;Wałbrzych (Dolnośląskie);2026-03-29;2026-03-30;1;1;;57400;57400;0;
