listing_id;title;price_pln;currency;link;subtitle;engine_cm3;power_hp;mileage_km;fuel_type;gearbox;year;location;first_seen_date;last_seen_date;days_on_site;is_active;removed_date;initial_price_pln;lowest_price_pln;price_change_count;last_price_change_date
6146464831;Kia Sportage;85900;PLN;https://www.otomoto.pl/osobowe/oferta/kia-sportage-ID6HXVhx.html;2359 cm3 • 180 KM • Zadbana KIA SPORTAGE 2.4 181 KM AWD z automatyczną skrzynią biegów – m;2359;180;42600;Benzyna;Automatyczna;2020;Świdnica (Dolnośląskie);2026-03-30;2026-03-30;0;1;;85900;85900;0;
6146684763;Kia Sportage 1.6 T-GDI M 2WD DCT;65000;PLN;https://www.otomoto.pl/osobowe/oferta/kia-sportage-ID6HYRuP.html;1591 cm3 • 177 KM • Kia Sportage niebieska 1,6 T-GDI 7DCT 2WD 177KM KM;1591;177;66000;Benzyna;Automatyczna;2019;Warszawa (Mazowieckie);2026-03-30;2026-03-30;0;1;;65000;65000;0;
6146489786;Kia Sportage 1.6 T-GDI L Business Line 4WD DCT;62900;PLN;https://www.otomoto.pl/osobowe/oferta/kia-sportage-ID6HY2M2.html;1591 cm3 • 177 KM • Pierwszy właściciel , stan idealny !;1591;177;116400;Benzyna;Automatyczna;2018;Poznań (Wielkopolskie);2026-03-30;2026-03-30;0;1;;62900;62900;0;
6146293731;Kia Sportage 1.6 T-GDI GT Line 2WD DCT;89900;PLN;https://www.otomoto.pl/osobowe/oferta/kia-sportage-ID6HXdLR.html;1591 cm3 • 177 KM • KIA Sportage GT-Line | 1.6T 177KM | Salon PL | 19” | 2 kompl. opon;1591;177;46500;Benzyna;Automatyczna;2021;Dąbrówka (Wielkopolskie);2026-03-30;2026-03-30;0;1;;89900;89900;0;
6146599857;Kia Sportage 1.6 T-GDI Anniversary 2WD DCT;84900;PLN;https://www.otomoto.pl/osobowe/oferta/kia-sportage-ID6HYwpn.html;1598 cm3 • 150 KM • ANNIVERSARY, Salon Polska, lekko uszkodzona, FV 23% - JAK NOWY;1598;150;1800;Benzyna;Automatyczna;2025;Tłuszcz (Mazowieckie);2026-03-30;2026-03-30;0;1;;84900;84900;0;
6146395748;Kia Sportage 1.6 GDI 2WD VISION;52900;PLN;https://www.otomoto.pl/osobowe/oferta/kia-sportage-ID6HXEji.html;1591 cm3 • 132 KM • 1.6 Benzyna 132KM. 100% Bezwypadkowy Super Stan;1591;132;110700;Benzyna;Manualna;2017;Lusina (Małopolskie);2026-03-30;2026-03-30;0;1;;52900;52900;0;
6144972391;Kia Sportage 1.6 GDI M 2WD;66900;PLN;https://www.otomoto.pl/osobowe/oferta/kia-sportage-ID6HRG1W.html;1591 cm3 • 132 KM • M +SMT1 1.6 GDI 6MT Salon Polska / Serwisowany ASO;1591;132;132616;Benzyna;Manualna;2019;Konin (Wielkopolskie);2026-03-30;2026-03-30;0;1;;66900;66900;0;
6146708155;Kia Sportage 1.6 GDI 2WD VISION;59990;PLN;https://www.otomoto.pl/osobowe/oferta/kia-sportage-ID6HYXA7.html;1591 cm3 • 132 KM • 1.6! Kamera! Oryginał!;1591;132;138000;Benzyna;Manualna;2018;Susz (Warmińsko-mazurskie);2026-03-30;2026-03-30;0;1;;59990;59990;0;
6146591358;Kia Sportage 1.6 GDI 2WD Black Edition;58900;PLN;https://www.otomoto.pl/osobowe/oferta/kia-sportage-ID6HYtci.html;1591 cm3 • 132 KM • —> ZOBACZ! _ Niski przebieg _ Serwis + TUV___TOP!;1591;132;68000;Benzyna;Manualna;2016;Starogard Gdański (Pomorskie);2026-03-30;2026-03-30;0;1;;58900;58900;0;
6142292305;Kia Sportage;109900;PLN;https://www.otomoto.pl/osobowe/oferta/kia-sportage-ID6HGqOJ.html;1598 cm3 • 150 KM • 1.6 T-GDI DCT 150KM M +Smart(Salon PL, ASO, Bezwypadkowy, FV23%);1598;150;33379;Benzyna;Automatyczna;2024;1598 cm3 • 150 KM • 1.6 T-GDI DCT 150KM M +Smart(Salon PL, ASO, Bezwypadkowy, FV23%);2026-03-30;2026-03-30;0;0;2026-03-30;109900;109900;0;
6143041922;Kia Sportage 1.6 GDI Business Line 2WD;69999;PLN;https://www.otomoto.pl/osobowe/oferta/kia-sportage-ID6HJzPk.html;1591 cm3 • 132 KM • Samochód z pisemną gwarancją techniczną;1591;132;49950;Benzyna;Manualna;2019;Toruń (Kujawsko-pomorskie);2026-03-30;2026-03-30;0;0;2026-03-30;69999;69999;0;
